timestamp,asn,num_routes,num_new_routes,num_withdrawals,num_origin_changes,num_route_changes,max_path_length,avg_path_length,max_edit_distance,avg_edit_distance,num_announcements,num_unique_prefixes_announced
2018-11-12 08:15:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 08:20:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 08:25:00,4809,3,2,0,0,0,3,1.0,0,0.0,5,3
2018-11-12 08:30:00,4809,2,0,1,0,1,6,4.5,1,0.5,3,2
2018-11-12 08:35:00,4809,0,0,2,0,0,0,0.0,0,0.0,0,0
2018-11-12 08:40:00,4809,1,1,1,0,0,0,0.0,0,0.0,4,1
2018-11-12 08:45:00,4809,9,8,0,0,0,3,0.3333333333333333,0,0.0,490,9
2018-11-12 08:50:00,4809,9,0,1,0,8,5,4.111111111111111,6,3.6666666666666665,261,9
2018-11-12 08:55:00,4809,1,0,9,0,0,3,3.0,0,0.0,3,1
2018-11-12 09:00:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 09:05:00,4809,2,1,0,0,0,3,1.5,0,0.0,3,2
2018-11-12 09:10:00,4809,8,7,1,0,1,5,0.625,2,0.25,9,8
2018-11-12 09:15:00,4809,1,0,7,0,1,3,3.0,2,2.0,1,1
2018-11-12 09:20:00,4809,2,1,20,0,0,3,1.5,0,0.0,114,2
2018-11-12 09:25:00,4809,2,0,1,0,1,6,4.5,4,2.0,3,2
2018-11-12 09:30:00,4809,1,0,1,0,0,3,3.0,0,0.0,2,1
2018-11-12 09:35:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 09:40:00,4809,1,0,1,0,0,3,3.0,0,0.0,2,1
2018-11-12 09:45:00,4809,12,11,24,0,1,3,0.25,1,0.08333333333333333,102,12
2018-11-12 09:50:00,4809,16,4,13,0,2,7,2.5,4,0.3125,48,16
2018-11-12 09:55:00,4809,6,0,10,0,5,7,4.333333333333333,5,2.1666666666666665,18,6
2018-11-12 10:00:00,4809,2,1,5,0,0,3,1.5,0,0.0,3,2
2018-11-12 10:05:00,4809,28,27,1,0,0,3,0.10714285714285714,0,0.0,56,28
2018-11-12 10:10:00,4809,1,0,28,0,0,3,3.0,0,0.0,2,1
2018-11-12 10:15:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 10:20:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 10:25:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 10:30:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 10:35:00,4809,1,0,1,0,0,3,3.0,0,0.0,2,1
2018-11-12 10:40:00,4809,2,1,0,0,0,3,1.5,0,0.0,3,2
2018-11-12 10:45:00,4809,1,0,1,0,0,3,3.0,0,0.0,1,1
2018-11-12 10:50:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 10:55:00,4809,0,0,2,0,0,0,0.0,0,0.0,3,0
2018-11-12 11:00:00,4809,1,1,0,0,0,0,0.0,0,0.0,3,1
2018-11-12 11:05:00,4809,2,1,1,0,0,3,1.5,0,0.0,4,2
2018-11-12 11:10:00,4809,1,0,1,0,0,3,3.0,0,0.0,2,1
2018-11-12 11:15:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 11:20:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 11:25:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 11:30:00,4809,1,0,1,0,0,3,3.0,0,0.0,2,1
2018-11-12 11:35:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 11:40:00,4809,1,0,0,0,0,3,3.0,0,0.0,3,1
2018-11-12 11:45:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 11:50:00,4809,28,27,0,0,0,3,0.10714285714285714,0,0.0,55,28
2018-11-12 11:55:00,4809,1,0,27,0,0,3,3.0,0,0.0,2,1
2018-11-12 12:00:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 12:05:00,4809,1,0,0,0,0,3,3.0,0,0.0,4,1
2018-11-12 12:10:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 12:15:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 12:20:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 12:25:00,4809,4,3,0,0,1,2,0.5,2,0.5,12,4
2018-11-12 12:30:00,4809,1,0,3,0,1,3,3.0,2,2.0,1,1
2018-11-12 12:35:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 12:40:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 12:45:00,4809,1,0,0,0,0,3,3.0,0,0.0,3,1
2018-11-12 12:50:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 12:55:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 13:00:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 13:05:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 13:10:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 13:15:00,4809,2,1,0,0,1,5,2.5,2,1.0,4,2
2018-11-12 13:20:00,4809,1,0,1,0,0,5,5.0,0,0.0,2,1
2018-11-12 13:25:00,4809,1,0,0,0,1,3,3.0,2,2.0,3,1
2018-11-12 13:30:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 13:35:00,4809,2,1,0,0,0,3,1.5,0,0.0,3,2
2018-11-12 13:40:00,4809,1,0,1,0,0,3,3.0,0,0.0,2,1
2018-11-12 13:45:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 13:50:00,4809,1,0,1,0,0,3,3.0,0,0.0,3,1
2018-11-12 13:55:00,4809,1,0,2,0,0,3,3.0,0,0.0,5,1
2018-11-12 14:00:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 14:05:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 14:10:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 14:15:00,4809,6,5,0,0,0,3,0.5,0,0.0,14,6
2018-11-12 14:20:00,4809,44,38,0,0,6,8,1.0,6,0.4090909090909091,63,44
2018-11-12 14:25:00,4809,44,40,41,0,4,4,0.3409090909090909,7,0.5454545454545454,46,44
2018-11-12 14:30:00,4809,1,0,43,0,0,3,3.0,0,0.0,2,1
2018-11-12 14:35:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 14:40:00,4809,2,1,1,0,0,3,1.5,0,0.0,6,2
2018-11-12 14:45:00,4809,1,0,1,0,0,3,3.0,0,0.0,1,1
2018-11-12 14:50:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 14:55:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 15:00:00,4809,2,1,0,0,0,3,1.5,0,0.0,5,2
2018-11-12 15:05:00,4809,1,0,1,0,0,3,3.0,0,0.0,1,1
2018-11-12 15:10:00,4809,1,0,1,0,0,3,3.0,0,0.0,2,1
2018-11-12 15:15:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 15:20:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 15:25:00,4809,1,0,1,0,0,3,3.0,0,0.0,3,1
2018-11-12 15:30:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 15:35:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 15:40:00,4809,114,113,0,0,0,3,0.02631578947368421,0,0.0,229,114
2018-11-12 15:45:00,4809,13,0,101,0,12,3,3.0,2,1.8461538461538463,14,13
2018-11-12 15:50:00,4809,1,0,12,0,0,3,3.0,0,0.0,4,1
2018-11-12 15:55:00,4809,1,0,1,0,0,3,3.0,0,0.0,2,1
2018-11-12 16:00:00,4809,2,1,0,0,0,3,1.5,0,0.0,84,2
2018-11-12 16:05:00,4809,1,0,1,0,0,3,3.0,0,0.0,2,1
2018-11-12 16:10:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 16:15:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 16:20:00,4809,1,0,0,0,0,3,3.0,0,0.0,3,1
2018-11-12 16:25:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 16:30:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 16:35:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 16:40:00,4809,114,113,0,0,1,5,0.043859649122807015,2,0.017543859649122806,339,114
2018-11-12 16:45:00,4809,114,0,0,0,58,6,3.5789473684210527,3,1.0263157894736843,226,114
2018-11-12 16:50:00,4809,0,0,114,0,0,0,0.0,0,0.0,0,0
2018-11-12 16:55:00,4809,114,114,1,0,0,0,0.0,0,0.0,305,114
2018-11-12 17:00:00,4809,1,0,113,0,0,3,3.0,0,0.0,1,1
2018-11-12 17:05:00,4809,1,0,1,0,0,3,3.0,0,0.0,3,1
2018-11-12 17:10:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 17:15:00,4809,0,0,2,0,0,0,0.0,0,0.0,2,0
2018-11-12 17:20:00,4809,1,1,0,0,0,0,0.0,0,0.0,4,1
2018-11-12 17:25:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 17:30:00,4809,1,0,1,0,0,3,3.0,0,0.0,3,1
2018-11-12 17:35:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 17:40:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 17:45:00,4809,1,0,0,0,0,3,3.0,0,0.0,4,1
2018-11-12 17:50:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 17:55:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 18:00:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 18:05:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 18:10:00,4809,1,0,0,0,0,3,3.0,0,0.0,3,1
2018-11-12 18:15:00,4809,1,0,0,0,0,3,3.0,0,0.0,3,1
2018-11-12 18:20:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 18:25:00,4809,202,201,1,0,0,3,0.01485148514851485,0,0.0,232,202
2018-11-12 18:30:00,4809,1,0,201,0,0,3,3.0,0,0.0,1,1
2018-11-12 18:35:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 18:40:00,4809,1,0,0,0,0,3,3.0,0,0.0,3,1
2018-11-12 18:45:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 18:50:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 18:55:00,4809,1,0,0,0,0,3,3.0,0,0.0,3,1
2018-11-12 19:00:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 19:05:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 19:10:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 19:15:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 19:20:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 19:25:00,4809,2,1,0,0,0,3,1.5,0,0.0,46,2
2018-11-12 19:30:00,4809,2,0,0,0,1,3,3.0,2,1.0,11,2
2018-11-12 19:35:00,4809,1,0,1,0,0,3,3.0,0,0.0,1,1
2018-11-12 19:40:00,4809,1,0,1,0,0,3,3.0,0,0.0,2,1
2018-11-12 19:45:00,4809,1,0,0,0,0,3,3.0,0,0.0,3,1
2018-11-12 19:50:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 19:55:00,4809,1,0,1,0,1,5,5.0,2,2.0,3,1
2018-11-12 20:00:00,4809,12,11,1,0,1,3,0.25,2,0.16666666666666666,77,12
2018-11-12 20:05:00,4809,1,0,12,0,0,3,3.0,0,0.0,2,1
2018-11-12 20:10:00,4809,1,0,0,0,0,3,3.0,0,0.0,4,1
2018-11-12 20:15:00,4809,1,0,1,0,0,3,3.0,0,0.0,2,1
2018-11-12 20:20:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 20:25:00,4809,1,0,0,0,0,3,3.0,0,0.0,2,1
2018-11-12 20:30:00,4809,1,0,0,0,0,3,3.0,0,0.0,1,1
2018-11-12 20:35:00,4809,28,27,0,0,0,3,0.10714285714285714,0,0.0,29,28
2018-11-12 20:40:00,4809,28,0,1,0,0,7,6.178571428571429,0,0.0,29,28
2018-11-12 20:45:00,4809,166,162,24,0,4,7,0.16265060240963855,4,0.04216867469879518,168,166
2018-11-12 20:50:00,4809,64,62,164,0,2,3,0.09375,5,0.140625,66,64
2018-11-12 20:55:00,4809,1,0,63,0,0,3,3.0,0,0.0,2,1
2018-11-12 21:00:00,4809,0,0,1,0,0,0,0.0,0,0.0,0,0
